,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
27920,56539,56541.0,1.0,2.0,-0.00026574541745557365,2022-10-19 10:09:00,2022-10-19 10:11:00
27921,56541,56543.0,-1.0,2.0,-6.644297534077555e-05,2022-10-19 10:11:00,2022-10-19 10:13:00
27922,56544,56545.0,-1.0,1.0,0.00026557779925676735,2022-10-19 10:14:00,2022-10-19 10:15:00
27923,56545,56546.0,1.0,1.0,-0.00112949317701931,2022-10-19 10:15:00,2022-10-19 10:16:00
27924,56548,56553.0,-1.0,5.0,-0.0020911135327186235,2022-10-19 10:18:00,2022-10-19 10:23:00
27925,56553,56555.0,1.0,2.0,0.0015902995101947537,2022-10-19 10:23:00,2022-10-19 10:25:00
27926,56555,56559.0,-1.0,4.0,0.0008942322618848101,2022-10-19 10:25:00,2022-10-19 10:29:00
27927,56559,56560.0,1.0,1.0,0.0002650410829192276,2022-10-19 10:29:00,2022-10-19 10:30:00
27928,56560,56562.0,-1.0,2.0,3.312629399901731e-05,2022-10-19 10:30:00,2022-10-19 10:32:00
27929,56562,56563.0,1.0,1.0,0.0004305562522009885,2022-10-19 10:32:00,2022-10-19 10:33:00
27930,56563,56564.0,-1.0,1.0,0.0007950179297771195,2022-10-19 10:33:00,2022-10-19 10:34:00
27931,56564,56565.0,1.0,1.0,-0.0005966785074431115,2022-10-19 10:34:00,2022-10-19 10:35:00
27932,56565,56568.0,-1.0,3.0,-0.00029838375687573667,2022-10-19 10:35:00,2022-10-19 10:38:00
27933,56569,56570.0,1.0,1.0,-0.00043108451581989557,2022-10-19 10:39:00,2022-10-19 10:40:00
27934,56570,56571.0,-1.0,1.0,-0.001060797023164344,2022-10-19 10:40:00,2022-10-19 10:41:00
27935,56572,56573.0,-1.0,1.0,-0.0005302402775434977,2022-10-19 10:42:00,2022-10-19 10:43:00
27936,56573,56575.0,1.0,2.0,-0.00019880715771259972,2022-10-19 10:43:00,2022-10-19 10:45:00
27937,56575,56576.0,-1.0,1.0,6.627783671556504e-05,2022-10-19 10:45:00,2022-10-19 10:46:00
